mileage,price,Bike name,Types and Used  Time,description
"3,656 miles","$6,495 ",V Star 950,  2013 Yamaha Cruiser,
"15,261 miles","$7,490 ",Stryker,  2012 Yamaha Cruiser,"2012 Yamaha Stryker, Great looking factory built chopper, nicely equipped too!  2012 Yamaha Stryker"
"1,530 miles","$5,900 ",V STAR 950 BASE,  2012 Yamaha Cruiser,
"12,316 miles","$5,995 ",V Star 950,  2012 Yamaha Cruiser,
838 miles,"$10,390 ",YZF R6,  2012 Yamaha Sportbike,
939 miles,"$3,495 ",V Star 250,  2012 Yamaha Cruiser,
"17,011 miles","$5,790 ",FZ8,  2011 Yamaha Sportbike,
"9,950 miles","$4,995 ",V STAR 650,  2011 Yamaha Cruiser,
"21,165 miles","$6,888 ",FJR1300 DCT 1300 AE,  2009 Yamaha Sportbike,"2009 Yamaha FJR1300 DCT, Frame, dampers, brakes and wheels Frame type Aluminium, Diamond shaped Front dampers 43mm inverted fork with electronically adjustable rebound and compression damping; Rear dampers Single shock with electronically adjustable spring preload, rebound and compression damping; Front tire 120/70-ZR17 Rear tire 180/55-ZR17 Front brakes Double disc. ABS. Hydraulic Diameter 320 mm (12.6 inches) Rear brakes Single disc. ABS. Hydraulic Diameter 282 mm (11.1 inches) Weight and dimentions Wet weight 291.2 kg (642.0 pounds) Saddle height 805 mm (31.7 inches) If adjustable, lowest setting. Wheelbase 1544 mm (60.8 inches) Length 2230 mm (87.8 inches) Height 1455 mm (57.3 inches) Width 750 mm (29.5 inches) Ground clearance 125 mm (4.9 inches) Fuel tank 25.0 litres (6.61 US gallons) Oil capacity 4.90 litres (5.18 US quarts)"
"9,952 miles","$4,495 ",V Star 650 Silverado,  2009 Yamaha Cruiser,
"12,064 miles","$7,495 ",Royal Star® Tour Deluxe,  2008 Yamaha Touring,
"7,226 miles","$5,495 ",V Star® 1100 Custom,  2008 Yamaha Cruiser,
"22,837 miles","$7,495 ",FJR1300AE 1300 AE,  2008 Yamaha Sport Touring,
"8,794 miles","$7,495 ",V Star 1300 BASE,  2007 Yamaha Cruiser,"2007 Yamaha V Star 1300,"
"22,395 miles","$5,495 ",V Star® 1300,  2007 Yamaha Cruiser,
"2,582 miles","$3,495 ",V Star® Classic,  2005 Yamaha Cruiser,
"29,022 miles","$4,777 ",Road Star Midnight,  2004 Yamaha Cruiser,"2004 Yamaha Road Star Midnight, Engine and transmission Displacement 1670.0 ccm (101.90 cubic inches) Engine type V2, four-stroke Compression 8.3:1 Bore x stroke 97.0 x 113.0 mm (3.8 x 4.4 inches) Fuel system Carburettor Fuel control Overhead Valves (OHV) Cooling system Air Gearbox 5-speed Transmission type Belt (final drive) Chassis, suspension, brakes and wheels Frame type Aluminium Front suspension 43mm Telescopic fork with adjustable preload Front wheel travel 140 mm (5.5 inches) Rear suspension Single shock, link-type Rear wheel travel 109 mm (4.3 inches) Front tire 130/90-16 Rear tire 150/80-16 Front brakes Double disc Diameter 298 mm (11.7 inches) Rear brakes Single disc Diameter 320 mm (12.6 inches) Physical measures and capacities Seat height 709 mm (27.9 inches) If adjustable, lowest setting. Overall height 1501 mm (59.1 inches) Overall length 2499 mm (98.4 inches) Overall width 980 mm (38.6 inches) Wheelbase 1689 mm (66.5 inches) Fuel capacity 20.06 litres (5.30 US gallons)"
"44,651 miles","$3,999 ",YZF R1,  2003 Yamaha Trike,"2003 Yamaha YZF R1,"
"44,651 miles","$3,999 ",YZF R1,  2003 Yamaha Trike,"2003 Yamaha YZF R1,"
"44,651 miles","$3,999 ",YZF R1,  2003 Yamaha Trike,"2003 Yamaha YZF R1,"
"37,831 miles","$3,999 ",V STAR 1100 CLASSIC,  2000 Yamaha Cruiser,
"19,652 miles","$2,995 ",V Star Classic,  1999 Yamaha Cruiser,
,"$4,397 ",YZ65,New 2023 Yamaha Mx,
,"$7,697 ",MT-07,New 2023 Yamaha Sportbike,
,"$3,799 ",Zuma 125,New 2023 Yamaha Scooter,
,"$3,799 ",Zuma 125,New 2023 Yamaha Scooter,
,"$7,099 ",YZ125X,New 2023 Yamaha Dirt Bike,"2023 YAMAHA YZ125X,    Top Features  Engine Features"
,"$7,099 ",YZ125X,New 2023 Yamaha Dirt Bike,
1 miles,"$8,899 ",YZ250FX,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ250FX, 2023 Yamaha YZ250FX"
,"$2,299 ",TT-R110E,New 2023 Yamaha Dirt Bike,"2023 Yamaha TT-R110E, 2023 Yamaha TT-R110E"
,"$4,799 ",YZ65,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ65, 2023 Yamaha YZ65"
,"$9,199 ",YZF-R7,New 2023 Yamaha Sportbike,
,"$4,799 ",YZ65,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ65, 2023 Yamaha YZ65"
,"$18,290 ",FJR1300ES 1300 ES,New 2023 Yamaha Touring,"2023 Yamaha FJR1300ES, 2023 Yamaha FJR1300ES"
,"$6,999 ",YZ125,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ125, 2023 Yamaha YZ125"
,"$8,899 ",YZ250FX,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ250FX, 2023 Yamaha YZ250FX"
1 miles,"$15,999 ",Tenere 700,New 2023 Yamaha Dual Sport,"2023 Yamaha Tenere 700, 2023 Yamaha Tenere 700"
,"$6,999 ",YZ125,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ125, 2023 Yamaha YZ125"
1 miles,"$9,799 ",MT-09,New 2023 Yamaha Sportbike,"2023 Yamaha MT-09, 2023 Yamaha MT-09"
,"$3,399 ",TT-R125LE,New 2023 Yamaha Dirt Bike,"2023 Yamaha TT-R125LE, 2023 Yamaha TT-R125LE"
1 miles,"$14,199 ",MT-10,New 2023 Yamaha Sportbike,"2023 Yamaha MT-10, 2023 Yamaha MT-09"
,"$10,099 ",YZ450F Monster Energy Yamaha Racing Edition,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ450F Monster Energy Yamaha Racing Edition, COME BY CALL OR TEXT BREWER CYCLES TODAY FOR MORE INFO! WE ARE WORTH THE DRIVE!  2023 Yamaha YZ450F Monster Energy Yamaha Racing Edition"
,"$1,749 ",TT-R50E,New 2023 Yamaha Dirt Bike,"2023 Yamaha TT-R50E, 2023 Yamaha PW50"
,"$9,199 ",YZF-R7,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZF-R7, 2023 Yamaha YZF-R7"
,"$8,599 ",YZ250F,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ250F, 2023 Yamaha YZ250F"
,"$7,899 ",YZ250,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ250, 2023 Yamaha YZ250"
,"$2,299 ",TT-R110E,New 2023 Yamaha Dirt Bike,"2023 Yamaha TT-R110E, 2023 Yamaha TT-R110E"
,"$4,799 ",YZ65,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ65, 2023 Yamaha YZ65"
,"$4,799 ",YZ65,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ65, 2023 Yamaha YZ65"
,"$4,499 ",TT-R230,New 2023 Yamaha Dirt Bike,"2023 Yamaha TT-R230, 2023 Yamaha TT-R230"
1 miles,"$3,799 ",Zuma 125,New 2023 Yamaha Scooter,"2023 Yamaha Zuma 125, 2023 Yamaha Zuma 125"
1 miles,"$3,799 ",Zuma 125,New 2023 Yamaha Scooter,"2023 Yamaha Zuma 125, 2023 Yamaha Zuma 125"
,"$2,299 ",TT-R110E,New 2023 Yamaha Dirt Bike,"2023 Yamaha TT-R110E, 2023 Yamaha TT-R110E"
1 miles,"$17,999 ",YZF-R1,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZF-R1, 2023 Yamaha YZF-R1"
,"$9,999 ",YZ450FX,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ450FX, 2023 Yamaha YZ450FX"
,"$2,299 ",TT-R110E,New 2023 Yamaha Dirt Bike,
,"$1,699 ",PW50,New 2023 Yamaha Dirt Bike,
,"$4,499 ",TT-R230,New 2023 Yamaha Dirt Bike,
,"$1,749 ",TT-R50E,New 2023 Yamaha Dirt Bike,
,"$11,499 ",MT-09 SP,New 2023 Yamaha Sportbike,
,"$2,299 ",TT-R110E,New 2023 Yamaha Dirt Bike,
,"$14,199 ",MT-10,New 2023 Yamaha Sportbike,
,"$4,699 ",V Star 250,New 2023 Yamaha Cruiser,
,"$1,699 ",PW50,New 2023 Yamaha Dirt Bike,
1 miles,"$4,699 ",YZ65,New 2022 Yamaha Mx,Designed for the discriminating mini-moto racer with dreams of victory. The YZ65 is the perfect first step into the victory zone.
1 miles,"$1,549 ",TT-R50E,New 2022 Yamaha Dirt Bike,"2022 YAMAHA TT-R50E,    Top Features  Engine Features  Chassis/Suspension Features"
1 miles,"$1,549 ",TT-R50E,New 2022 Yamaha Dirt Bike,"2022 YAMAHA TT-R50E,    Top Features  Engine Features  Chassis/Suspension Features"
,"$5,499 ",YZF-R3 World GP 60th Anniversary Edition,New 2022 Yamaha Sportbike,"2022 Yamaha YZF-R3 World GP 60th Anniversary Edition,   2022 Yamaha YZF-R3 World GP 60th Anniversary Edition for sale at Riva Motorsports & Marine Florida Keys IN-STOCK!Own for as low as  with approved credit. Payment is based on 7.99% APR for 36 months credit approval. Other options available. Contact us to apply."
,"$1,699 ",PW50,New 2022 Yamaha Dirt Bike,"2022 Yamaha PW50, 2022 Yamaha PW50"
,"$4,699 ",YZ65,New 2022 Yamaha Dirt Bike,"2022 Yamaha YZ65,   2022 Yamaha YZ65 for sale at Riva Motorsports Miami IN-STOCK! Own for as low as  with approved credit. Payment is based on 7.99% APR for 60 months credit approval. Other options available. Contact us to apply."
1 miles,"$14,999 ",Tracer 9 GT,New 2022 Yamaha Touring,"2022 Yamaha Tracer 9 GT, Advertised pricing excludes applicable taxes title and licensing and are subject to change without notice. Pricing may exclude any added parts, accessories or installation unless otherwise noted. Sale prices include all applicable offers. Not all options listed are available on pre-owned models. Contact dealer for details.  2022 Yamaha Tracer 9 GT"
,"$4,999 ",YZ85,New 2022 Yamaha Dirt Bike,"2022 Yamaha YZ85,   2022 Yamaha YZ85 Dirt bike for sale at Riva Motorsports Miami IN-STOCK!"
489 miles,"$13,290 ",Tracer 9 GT,  2022 Yamaha Sport Touring,"2022 Yamaha Tracer 9 GT, UNDER WARRANTY UNTIL 2-9-2024  2022 Yamaha Tracer 9 GT"
,"$1,699 ",PW50,New 2022 Yamaha Dirt Bike,"2022 Yamaha PW50, 2022 Yamaha PW50"
"1,530 miles","$5,799 ",YZF R3 ABS,  2021 Yamaha Sportbike,"2021 Yamaha YZF R3 ABS, R-World is calling. . This lightweight supersport comes with a radical MotoGP® inspired look that makes it the most desirable 300 on the street or track. Its sleek bodywork with a central air intake mirrors the look of Yamaha s YZR-M1 MotoGP® machine and the aggressive dual LED headlights underline its pure R-series DNA. . High-specification 37mm inverted front forks give you precise suspension feel and feedback and a great deal of development has gone into ensuring that the ergonomics give you plenty of comfort together with precise control. Answer the call and enter R-World. . Ultimate lightweight supersport. . . Every model in the Yamaha R-Series is designed and manufactured to give you a thrilling ride every time. Quite simply these supersport bikes are built without compromise so that you can enjoy pure riding excitement. . Inspired by both the YZR-M1 MotoGP® bike and our class-leading R1 the R3 combines a forceful race-bred look with sleek cross-layered bodywork giving it the presence of a bike twice its size.... Read the full description on our Website at: www.texasstrongpowersports.com"
"2,934 miles","$7,199 ",MT-07,  2021 Yamaha Standard,"2021 Yamaha MT-07, This 2021 MT-07 is a great bike!  2021 Yamaha MT-07"
,"$4,099 ",YDX-MORO - Medium,New 2021 Yamaha Electric Bicycle,
,"$4,099 ",YDX-MORO - Medium,New 2021 Yamaha Electric Bicycle,
"6,152 miles","$8,680 ",MT-07,  2020 Yamaha Standard,"2020 Yamaha MT-07, 2020 Yamaha MT-07"
1 miles,"$6,999 ",YZ250,  2020 Yamaha Mx,"Pure performance and full-throttle adrenaline is what you get from this lightweight, reliable, 2-stroke moto machine."
"14,995 miles","$11,995 ",MT-10,  2020 Yamaha Standard,"2020 Yamaha MT-10,"
,"$6,499 ",YZ450F,  2020 Yamaha Dirt Bike,"2020 Yamaha YZ450F, This 2020 Yamaha YZ 450F is in Good condition with only very slight cosmetic ride wear. It comes in stock form ready for a new owner to make it their own. This unit has been fully inspected. All pre-owned units are subject to a $299 reconditioning fee. Moon Motorsports Monticello, MN 763-295-2920.   2020 Yamaha YZ450F"
,"$5,760 ",YZ250F,  2020 Yamaha Dirt Bike,"2020 Yamaha YZ250F, 2020 Yamaha YZ250F / STOCK # YU3126"
"3,767 miles","$10,595 ",Tracer 900 GT,  2020 Yamaha Touring,"2020 Yamaha Tracer 900 GT, 2020 Yamaha Tracer 900 GT. Incredible power doesn't mean you can't have comfort to match. This machine was made for long trips in comfort with all the speed you could ask for! Call sales at 605-221-4000!  2020 Yamaha Tracer 900 GT"
"11,786 miles","$11,890 ",MT 10,  2020 Yamaha Sportbike,
"3,408 miles","$14,786 ",YZF-R6,  2020 Yamaha Sportbike,Financing Available *Instant Approval*
"11,363 miles","$7,199 ",MT 07,  2019 Yamaha Standard,"2019 Yamaha MT 07, The 2019 Yamaha MT-07 (also known as the FZ-07 in North America) is a standard motorcycle powered by a 689 cc liquid-cooled in-line twin-cylinder engine. It produces 74 horsepower and 50 lb-ft of torque and features a six-speed transmission. The bike has a lightweight and compact design with a wet weight of around 425lbs and a seat height of 805 mm. It has a steel frame a non-adjustable 41 mm upside down fork and a rear monoshock with adjustable preload. It comes with standard ABS and a LED headlight. The MT-07 is known for its nimble handling and is a great option for both experienced riders and beginners looking for a versatile fun and easy to ride motorcycle.... Read the full description on our Website at: www.texasstrongpowersports.com"
"6,431 miles","$16,995 ",Star Eluder GT,  2018 Yamaha Touring,"2018 Yamaha Star Eluder GT, Style and comfort with plenty of power. This Eluder GT is dressed in Yamaha's Impact Blue. Equipped with heated seats, AM/FM/Bluetooth, navigation, cruise, and added passenger backrest and taller windshield. Yamaha extended service plan through 06/09/24. Service is complete. Replaced air filter cover bolt."
,"$3,999 ",YZ65,  2018 Yamaha Mx,Introducing the YZ65 - designed for winning performance and unrivaled durability to lead a new generation of bLU cRU riders into the victorYZone.
"3,860 miles","$19,995 ",XV1900 STAR ELUDER GT,  2018 Yamaha Touring,
51 miles,"$6,199 ",YZ250F,  2018 Yamaha Mx,
"32,739 miles","$21,495 ",Star Venture TC BASE,  2018 Yamaha Touring,"2018 Yamaha Star Venture TC,"
"28,117 miles","$18,999 ",Star Eluder,  2018 Yamaha Touring,"2018 Yamaha Star Eluder,"
"6,961 miles","$14,990 ",YZF-R6,  2018 Yamaha Sportbike,"2018 Yamaha YZF-R6, SWEET PIECE! LOW MILES! HURRY IN!  2018 Yamaha YZF-R6"
"12,954 miles","$8,200 ",FZ-09,  2017 Yamaha Sportbike,
"10,231 miles","$12,199 ",YZF R6,  2017 Yamaha Sportbike,"2017 Yamaha YZF R6, Aftermarket Mods: Yoshimura YZF-R6 Y-Series Slip-On Muffler: MSRP $406.99 ASV C5 Sport Clutch Lever: MSRP $150.00 ASV C5 Sport Brake Lever: MSRP $150.00 Lightech Frame Sliders: MSRP $252.71 This 2017 Yamaha R6 is the perfect blend of performance and style with its advanced technology and sleek design this motorcycle is built to provide an unparalleled riding experience. One of the standout features of this 2017 Yamaha R6 is its anti-lock braking system (ABS) which ensures maximum control and stability even in the most challenging conditions. Whether you're navigating a twisty mountain road or riding in wet weather the R6's ABS will help keep you safe and confident. Another key feature of the R6 is its Yoshimura Y-Series slip-on exhaust which delivers a deep and powerful sound that perfectly complements the bike's aggressive styling. Not only does the exhaust look and sound great but it also improves performance by reducing weight and increasing airflow. Overall the 2017 Yamaha R6 is a true masterpiece of engineering and design and it's sure to impress even the most discerning riders. Whether you're a seasoned veteran or a new enthusiast this motorcycle is the perfect choice for anyone who demands the best.... Read the full description on our Website at: www.texasstrongpowersports.com"
"20,596 miles","$10,999 ",FZ-10,  2017 Yamaha Sportbike,"2017 Yamaha FZ-10,  DOHC inline 4-cylinder; 16 valves  998cc  79.0mm x 50.9mm  Liquid  12.0:1  Fuel injection with YCC-T  TCI: Transistor Controlled Ignition  43mm KYB® inverted fork, fully adjustable; 4.7-in travel  KYB® single shock w/piggyback reservoir, fully adjustable; 4.7-in travel  Dual hydraulic disc, 320mm; ABS  Hydraulic disc, 220mm; ABS  120/70ZR17  190/55ZR17  55.1 in.  32.5 in.  24.0 deg.  4.0 in.  4.5 gal.  30 mpg  Curb Weight: 463 lb.  6-speed; wet multiplate assist-and-slipper clutch  Chain  Digital  Digital  Digital  Matte Raven Black, Armor Gray"
"4,541 miles","$5,999 ",SCR950,  2017 Yamaha Sportbike,
"7,920 miles","$13,390 ",YZF R6,  2017 Yamaha Sportbike,
"15,004 miles","$11,499 ",FJR1300A  1300 A,  2016 Yamaha Sport Touring,"2016 Yamaha FJR1300A , 2016 Yamaha FJR1300A™"
"16,759 miles","$7,995 ",FJ-09,  2016 Yamaha Sport Touring,"2016 Yamaha FJ-09, GREAT SHAPE FRESHLY SERVICED NEW CHAIN NEW FRONT TIRE AFTERMARKET EXHAUST CUSTOM SEAT AND PASSANGER SEAT CUSTOM WINDSHIELD ENGINE GUARDS FOG LIGHTS  2016 Yamaha FJ-09"
"11,481 miles","$7,500 ",FZ-09,  2016 Yamaha Sportbike,
"5,229 miles","$5,999 ",V Star 950 BASE,  2015 Yamaha Cruiser,
"3,850 miles","$7,995 ",FJ-09,  2015 Yamaha Standard,"2015 Yamaha FJ-09,"
"6,620 miles","$10,990 ",YZF-R6,  2015 Yamaha Sportbike,
"8,020 miles","$9,991 ",Super Tenere ES,  2015 Yamaha Sport Touring,"2015 Yamaha Super Tenere ES, Why buy  ? To find the PERFECT vehicle! With over 30 years in the powersports industry, RideNow Powersports has the LARGEST selection of PRE-OWNED vehicles in the nation! Our factory trained service technicians multi-point inspect every vehicle to ensure it’s ready to Ride Now. Don't see what you are looking for? We can FIND IT for you! We specialize in: Purchasing   Vehicles I Service for All Makes & Models I Trade-Ins I Special Financing I Assisting with Shipping all over the United States."
"5,607 miles","$5,968 ",V Star® 950 Tourer,  2015 Yamaha Touring,"2015 Yamaha V Star® 950 Tourer, 2015 Yamaha V Star® 950 Tourer"
"18,206 miles","$6,999 ",FJ-09,  2015 Yamaha Sport Touring,"2015 Yamaha FJ-09, Great Deals, easy financing, affordable extended warranties, we ship nation wide (910)-920-1510  2015 Yamaha FJ-09"
"10,411 miles","$10,495 ",YZF R6 - Team Yamaha BlueMatte Silver,  2015 Yamaha Standard,"2015 Yamaha YZF R6 - Team Yamaha BlueMatte Silver, *** Service History *** 45 Point Safety Inspection Oil Change Coolant flush  Inline 4-cylinder; DOHC, 16 titanium valves  599 cc  67.0 x 42.5mm  Liquid  13.1:1  Fuel Injection with YCC-T and YCC-I  TCI: Transistor Controlled Ignition  41mm inverted fork; 4-way adjustable, 4.5-in travel  Single shock; 4-way adjustable, 4.7-in travel  Dual 310mm floating disc; radial-mount 4-piston calipers  220mm disc; single-piston caliper  120/70-ZR17 58W  180/55-ZR17 73W  54.1 in.  33.5 in.  24 deg.  3.8 in.  4.5 gal.  40 mpg  Curb Weight: 417 lb.  6-speed w/multiplate slipper clutch  O-ring chain  Standard: Digital  Standard: Analog  Standard: Digital  Team Yamaha Blue/Matte Silver"
"41,452 miles","$9,995 ",FJR 1300 A 1300A,  2015 Yamaha Sport Touring,
"20,107 miles","$9,499 ",YZF R6,  2014 Yamaha Sportbike,"2014 Yamaha YZF R6, The 2014 Yamaha YZF-R6 was born on the racetrack. Its MotoGP bred technology is tuned to give you the kind of outstanding engine and chassis performance usually reserved for professional racers. The 2014 Yamaha R6 is full of innovations and technology you just won t find on the competitor s machinery. . Right out of the crate it s out of this world. . From racing around the track in no time to conquering the urban maze in real time the 2014 YZF-R6 turns heads as effortlessly as it does corners. And does everything to perfection. Light powerful and bristling with nearly every cutting-edge innovation it features a taut tunable chassis that lets it maneuver from upright to full lean instantly and carve tight perfect lines. If you re searching for the ultimate 600 look no further.... Read the full description on our Website at: www.texasstrongpowersports.com"
"3,859 miles","$8,999 ",V Star 950 Tourer,  2014 Yamaha Touring,"2014 YAMAHA V Star 950 Tourer, Clean, low mileage touring cruiser   Key Features  Engine Features"
"5,504 miles","$5,999 ",Bolt™ R-Spec,  2014 Yamaha Cruiser,
"41,994 miles","$6,499 ",Roadliner S,  2013 Yamaha Cruiser,"FOR THOSE WHO THINK BIG Our biggest V-twin is also our boldest, with a highly advanced fuel-injected engine producing peak torque at only 2,250 rpm. And an aluminum frame for the kind of solid, precise handling nothing else in its class can touch. The Roadliner S gets chrome switchgear, front brake and clutch master cylinders and levers, belt guard, fork and fork covers, handlebar clamps, shifter, front pulley cover, various engine covers, rear fender stay and polished wheels."
"22,358 miles","$8,999 ",YZF R6,  2012 Yamaha Sportbike,"2012 Yamaha YZF R6, Introducing the 2012 Yamaha R6 an exhilarating motorcycle that delivers unbeatable performance and style. With its sleek and aerodynamic design the R6 is a true masterpiece of engineering that is sure to turn heads wherever you go. But the 2012 Yamaha R6 isn't just about looks it's also packed with features that make it one of the most high-performance bikes on the market. With its advanced suspension system and powerful engine the R6 delivers lightning-fast acceleration and precise handling that will take your breath away. And when it comes to safety the 2012 Yamaha R6 has got you covered. With its cutting-edge braking system and advanced traction control you can ride with confidence knowing that your bike will respond quickly and effectively to any unexpected hazards. So whether you're a seasoned rider or a newcomer to the world of motorcycles the 2012 Yamaha R6 is the ultimate ride for anyone who demands the best in performance style and safety.... Read the full description on our Website at: www.texasstrongpowersports.com"
"39,000 miles","$6,497 ",Super Tenere,  2012 Yamaha Touring,"2012 Yamaha Super Tenere, This 2012 Yamaha Super Tenere is in Average Condition for its year, as it exhibits a few body marks, scrapes, and small aesthetic imperfections. This adventure bike is ready to outfit as it comes with luggage case mounts already installed. It also has Oxford-brand heated grips installed by the previous owner. Please note that all of our   bikes are inspected by a certified technician. All pre-owned units are subject to a $299 reconditioning fee. Moon Motorsports Monticello, MN 763-295-2920   2012 Yamaha Super Tenere"
"9,868 miles","$10,990 ",YZF-R6,  2012 Yamaha Sportbike,"2012 Yamaha YZF-R6, LOW MILES!! SWEET BIKE! HOT COLOR!!  2012 Yamaha YZF-R6"
"7,584 miles","$6,995 ",Stryker,  2011 Yamaha Cruiser,"2011 Yamaha Stryker,"
"12,818 miles","$8,999 ",YZF R6,  2010 Yamaha Sportbike,"2010 Yamaha YZF R6, This 2010 Yamaha R6 is a high-performance motorcycle that's designed to thrill and excite riders of all skill levels. With its powerful engine sleek styling and advanced technology this bike is the perfect choice for anyone who's looking for an adrenaline-fueled riding experience. This 2010 Yamaha R6 features a liquid-cooled 16-valve DOHC inline four-cylinder engine that's capable of producing 124 horsepower at 14500 rpm. This engine is mated to a six-speed transmission that delivers smooth precise shifts and excellent performance in all riding conditions. Overall the 2010 Yamaha R6 is an outstanding motorcycle that offers a perfect balance of power style and technology. Whether you're a seasoned rider or just starting out this bike is sure to provide you with an exhilarating riding experience that you won't soon forget.... Read the full description on our Website at: www.texasstrongpowersports.com"
"5,385 miles","$9,995 ",YZF-R6,  2010 Yamaha Standard,"2010 Yamaha YZF-R6,"
"27,334 miles","$3,999 ",V Star 1100 Silverado,  2008 Yamaha Cruiser,"2008 Yamaha V Star 1100 Silverado,"
"27,334 miles","$3,999 ",V Star 1100 Silverado,  2008 Yamaha Cruiser,"2008 Yamaha V Star 1100 Silverado,"
"27,334 miles","$3,999 ",V Star 1100 Silverado,  2008 Yamaha Cruiser,"2008 Yamaha V Star 1100 Silverado,"
"8,155 miles","$4,890 ",MAJESTY 400,  2007 Yamaha Scooter,
"9,300 miles","$5,500 ",Road Star Silverado®,  2006 Yamaha Cruiser,
"51,510 miles","$3,499 ",FZ6,  2006 Yamaha Sportbike,
,"$4,600 ",FJR ABS 1300 ABS,  2004 Yamaha Sport Touring,
"48,742 miles","$2,950 ",V Star 650,  2001 Yamaha Cruiser,
"50,834 miles","$3,895 ",Royal Star Tour Classic,  1996 Yamaha Cruiser,
"18,775 miles","$4,100 ",SRX 600 X600,  1986 Yamaha Standard,
,"$7,999 ",YZ250X,New 2023 Yamaha Dirt Bike,
,"$8,499 ",YZ250F,New 2023 Yamaha Mx,
,"$3,799 ",Zuma 125,New 2023 Yamaha Scooter,"2023 Yamaha Zuma 125,   2023 Yamaha Zuma 125 scooter for sale at Riva Motorsports Miami"
2 miles,"$8,899 ",Bolt R-Spec,New 2023 Yamaha Cruiser,"Featuring a torquey V-Twin engine, this performance bobber combines old-school soul and modern form."
,"$3,799 ",Zuma 125,New 2023 Yamaha Scooter,"The reimagined, ultra-modern, Zuma 125 is a rugged and fuel efficient scooter with big features in a compact package."
,"$9,799 ",MT-09,New 2023 Yamaha Sportbike,
,"$16,299 ",Super Ténéré ES,New 2023 Yamaha Standard,
,"$9,799 ",MT-09,New 2023 Yamaha Sportbike,
,"$8,998 ",YZ250 Monster Energy Yamaha Racing Edition,New 2023 Yamaha Competition,"2023 YAMAHA YZ250 Monster Energy Yamaha Racing Edition,    Top Features  Engine Features"
,"$9,797 ",YZ250F Monster Energy Yamaha Racing Edition 250 MONSTER ENERGY YAMAHA RACING EDITION,New 2023 Yamaha Competition,"2023 YAMAHA YZ250F Monster Energy Yamaha Racing Edition,    Top Features  Engine Features"
,"$9,797 ",YZ250F Monster Energy Yamaha Racing Edition 250 MONSTER ENERGY YAMAHA RACING EDITION,New 2023 Yamaha Competition,"2023 YAMAHA YZ250F Monster Energy Yamaha Racing Edition,    Top Features  Engine Features"
,"$9,797 ",YZ250F Monster Energy Yamaha Racing Edition 250 MONSTER ENERGY YAMAHA RACING EDITION,New 2023 Yamaha Competition,"2023 YAMAHA YZ250F Monster Energy Yamaha Racing Edition,    Top Features  Engine Features"
,"$8,997 ",YZ250X,New 2023 Yamaha Dirt Bike,"2023 YAMAHA YZ250X,    Top Features"
,"$8,799 ",YZ250F Monster Energy Yamaha Racing Edition 250 MONSTER ENERGY YAMAHA RACING EDITION,New 2023 Yamaha Mx,
,"$4,499 ",TT-R230,New 2023 Yamaha Dirt Bike,"2023 YAMAHA TT-R230, PRICE DOES NOT INCLUDE $249 DOCUMENTATION FEE, $465 DESTINATION FEE, TITLE FEE AND SALES TAX*DESTINATION FEE INCLUDES FREIGHT SURCHARGE FROM MANUFACTURER*Unless otherwise specified, product prices already reflect discounts. Offers may not be combined with any other sale, promotion, discount, code, coupon and/or offer. Offers not valid on previous purchases, gift cards, gift certificates, taxes or shipping and processing charges. Customer must pay all applicable sales tax. Promotions have no cash value. Gift Cards cannot be   towards purchase of vehicle(s). Pony Powersports Group reserves the right to modify any promotion at any time. Other restrictions may apply.   Top Features  Engine Features"
